lat,long,aptos_por_local,local_de_votacao,zona_eleitoral_nro,bairro,endereco,secoes_eleitorais,zona_eleitoral_nome,secao,PT,PMDB,PSDB,PSD
-46.663681,-23.67618,519.0,EMEF. MARIA LUCIA DOS SANTOS,418.0,AMERICANÓPOLIS,"RUA ESTAMPA ESPORTIVA, 55, São Paulo",Da 415ª à 416ª; 429ª; 437ª; 440ª; 444ª; 450ª;,PEDREIRA,3031.0,92.0,32.0,34.0,26.0
-46.745815,-23.676006,5634.0,EE. PROFESSOR ELYO FERREIRA DE CASTRO,372.0,JARDIM FIGUEIRA GRANDE,"RUA BACIO DE FILICAIA, 147, São Paulo",Da 154ª à 164ª; 186ª; Da 195ª à 196ª; 225ª; 663ª;,PIRAPORINHA,3214.0,710.0,239.0,367.0,186.0
-46.752827,-23.675993,5939.0,EE. JOSÉ LINS DO REGO,372.0,JARDIM REGINA,"ESTRADA DO M'BOI MIRIM, 2463, São Paulo",Da 97ª à 111ª.,PIRAPORINHA,1560.0,935.0,215.0,442.0,170.0
-46.651234,-23.675802,6279.0,EE. PROF. VICENTE RAO,351.0,AMERICANÓPOLIS,"RUA PASTOR RUBENS LOPES, 368, São Paulo",Da 61ª à 72ª; 416ª; 638ª; 679ª; 689ª;,CIDADE ADEMAR,3220.0,1039.0,319.0,430.0,331.0
-46.7509,-23.67569,6815.0,EE. PROFESSOR NORBERTO ALVES RODRIGUES,372.0,JARDIM MAZZA,"RUA CARMEM ESCABIA MOTTA, S/N, São Paulo",Da 167ª à 170ª; Da 181ª à 182ª; 188ª; 191ª; Da 199ª à 200ª; 205ª; 217ª; 227ª; 262ª; 276ª; 282ª; 287ª; 299ª; 524ª; 577ª;,PIRAPORINHA,4971.0,914.0,225.0,476.0,220.0
-46.759079,-23.675016,5542.0,EE. MARTINHO DA SILVA,373.0,CAPAO REDONDO,"RUA COMENDADOR ANTUNES DOS SANTOS,1800, São Paulo",Da 230ª à 243ª; 311ª; 614ª;,CAPÃO REDONDO,4236.0,778.0,204.0,519.0,202.0
-46.73820900000001,-23.674879,3197.0,EMEF. PRACINHAS DA FORÇA EXPEDICIONÁRIA BRASILEIRA,372.0,JARDIM DAS FLORES,"R. ANTONIO RAPOSO BARRETO,151, São Paulo",343ª; 366ª; 389ª; 408ª; 440ª; 469ª; 514ª; 544ª; 601ª; 628ª;,PIRAPORINHA,4702.0,382.0,113.0,249.0,88.0
-46.76873,-23.67452,2957.0,CEU. CAPÃO REDONDO,373.0,JARDIM MODELO,"RUA DANIEL GRAN, 01, São Paulo",593ª; 640ª; 649ª; 657ª; 668ª; 675ª; 686ª; 697ª; 700ª;,CAPÃO REDONDO,5965.0,413.0,128.0,128.0,79.0
-46.687416,-23.674482,4692.0,EE. PROF. ISALTINO DE MELLO,246.0,JARDIM DOS PRADOS,"RUA TONINHAS, 73, São Paulo",266ª; 277ª; 282ª; 290ª; 297ª; 300ª; 306ª; 309ª; 312ª; 319ª; 323ª; 328ª;,SANTO AMARO,3609.0,383.0,335.0,482.0,681.0
-46.773544,-23.674368,5403.0,EMPG. CORONEL MÁRIO RANGEL,373.0,CAPAO REDONDO,"AVENIDA COMENDADOR SANTANA, 821, São Paulo",Da 20ª à 35ª; 601ª;,CAPÃO REDONDO,1041.0,854.0,249.0,455.0,214.0
-46.776169,-23.674297,4548.0,EE. YOSHIO NINOMIYA,20.0,CONJUNTO RESIDENCIAL FAZZIONI,"RUA JOÃO ANDRE LEYSE, 100, São Paulo",Da 1ª à 13ª.,VALO VELHO,91.0,641.0,214.0,372.0,138.0
-46.780472,-23.674084,6559.0,EE. PROFESSORA DAVINA AGUIAR DIAS,373.0,JARDIM IMBE,"RUA FRANCISCO DE ABREU,S/N, São Paulo",Da 153ª à 169ª; 608ª;,CAPÃO REDONDO,3345.0,1100.0,251.0,451.0,263.0
-46.747639,-23.673920000000006,5455.0,CEI JARDIM KLEIN,372.0,JARDIM FIGUEIRA GRANDE,"RUA BONIFÁCIO DE MONTFERRAT,143, São Paulo",Da 1ª à 7ª; 342ª; 371ª; 398ª; 422ª; 446ª; 480ª; 534ª;,PIRAPORINHA,3021.0,735.0,174.0,349.0,143.0
-46.739681,-23.673866,7393.0,EE. VICENTE LEPORACE,372.0,JARDIM DAS FLORES,"RUA JOÃO ALVES TORRES, 555, São Paulo",Da 124ª à 142ª; 185ª;,PIRAPORINHA,2712.0,903.0,273.0,582.0,256.0
-46.652756,-23.67377,6921.0,UNIVERSIDADE IBIRAPUERA,351.0,JARDIM UMUARAMA,"AVENIDA INTERLAGOS, 1.329, São Paulo",Da 592ª à 593ª; Da 595ª à 596ª; 598ª; 601ª; 603ª; 606ª; 608ª; 610ª; 613ª; 615ª; 620ª; Da 640ª à 641ª; Da 644ª à 645ª; 647ª; 714ª;,CIDADE ADEMAR,11781.0,748.0,320.0,686.0,555.0
