aptos_por_local,bairro,endereco,lat,local_de_votacao,long,secoes_eleitorais,zona_eleitoral_nome,zona_eleitoral_nro
6075,GRAJAU,"RUA SÃO JOSÉ DO RIO PRETO, 71, São Paulo",-23.753302,EE. SAMUEL WAINER,-46.682762,Da 16ª à 32ª; 631ª;,GRAJAÚ,371
4465,VILA JACUÍ,"RUA JAIME BARCELOS, 535, São Paulo",-23.501255,EE. TIDE SETÚBAL,-46.448689,Da 101ª à 111ª; 230ª;,VILA JACUÍ,398
5251,JARDIM SAPOPEMBA,"AV. JOÃO RODRIGUES RUIZ, 248, São Paulo",-23.610556,EM. OLIVAL COSTA,-46.493862,Da 79ª à 93ª.,TEOTÔNIO VILELA,421
1020,VILA JAGUARA,"RUA PAÚVA, 677, São Paulo",-23.51362,EMEI PEDRO DE TOLEDO,-46.74675,353ª; 359ª; 397ª;,LAPA,250
376,PARQUE NOVO MUNDO,"RUA SARGENTO JETER AUGUSTO PEREIRA, 121, São Paulo",-23.51228,CEI MÁRIO DA COSTA BARBOSA,-46.566319,439ª; 470ª;,VILA MARIA,254
3872,IPIRANGA,"RUA GREENFELD, 130, São Paulo",-23.601452,EE. PROF. JOSÉ ESCOBAR,-46.60247,Da 137ª à 146ª.,IPIRANGA,260
1727,JARDIM VERÔNIA,"RUA JAN LAND, 14, São Paulo",-23.48525,E.M.E.I. PROFª DINAH GALVÃO,-46.492573,Da 767ª à 768ª; 776ª; 786ª; 793ª;,ERMELINO MATARAZZO,326
4565,JARDIM PIRAJUSSARA,"RUA FRANCISCO PEIXOTO, 54, São Paulo",-23.634728,EE. PRESIDENTE KENNEDY,-46.770687,Da 17ª à 28ª.,CAMPO LIMPO,328
6741,VILA PROGREDIOR,"AV. JORGE JOÃO SAAD, 905, São Paulo",-23.594036,COLÉGIO MIGUEL DE CERVANTES,-46.720455,Da 31ª à 46ª; 609ª;,BUTANTÃ,346
5318,JARDIM MARIA AMALIA,"RUA SATÉLITE JAPETUS, 30, São Paulo",-23.77231,EE. DAVID ZEIGER,-46.714775,Da 129ª à 143ª.,PARELHEIROS,381
9032,JARDIM SAO JOAO,"RUA PIETRO CASELLA, S/N, São Paulo",-23.66069,EE. ANTÔNIO MANOEL ALVES DE LIMA,-46.737041,Da 56ª à 71ª; 273ª; 297ª;,JARDIM SÃO LUÍS,408
